구,동,학교명,학업성취도,도로명주소,X좌표(경도),Y좌표(위도)
송파구,잠실동,신천중학교,92.1,서울 송파구 백제고분로 11,127.078578189811,37.5163133740326
서초구,잠원동,경원중학교,92.1,서울 서초구 신반포로33길 39,127.008876555062,37.5108250335308
강서구,내발산동,명덕여자중학교,91.9,서울 강서구 강서로47길 34-10,126.834984284282,37.553377870946
강남구,도곡동,숙명여자중학교,91.8,서울 강남구 남부순환로 2807,127.051662235954,37.491074832434
노원구,중계1동,을지중학교,91.5,서울 노원구 덕릉로 580,127.07173361925,37.6496142747356
서초구,방배동,서문여자중학교,91.5,서울 서초구 동광로12길 84,126.984572356066,37.4888001653328
서초구,잠원동,신동중학교,91.2,서울 서초구 나루터로 27,127.013338476041,37.516569415617
서초구,반포동,반포중학교,91.1,서울 서초구 신반포로19길 26,126.995788204283,37.5060211341774
도봉구,쌍문동,선덕중학교,91.0,서울 도봉구 시루봉로 53,127.026767692231,37.656383209411
용산구,이촌동,용강중학교,90.9,서울 용산구 이촌로65가길 91,126.975742163838,37.5213177666955
마포구,염리동,서울여자중학교,90.9,서울 마포구 백범로25길 34,126.948365951913,37.5486489360035
강남구,삼성동,봉은중학교,90.5,서울 강남구 영동대로128길 59,127.062558978367,37.5190511827547
양천구,목동,양정중학교,90.4,서울 양천구 안양천로 1039,126.886911269718,37.5354010260506
서초구,서초동,서초중학교,90.3,서울 서초구 반포대로13길 48,127.008905233064,37.4856364966358
용산구,원효로4가,성심여자중학교,90.3,서울 용산구 원효로19길 49,126.954856428038,37.534559960631
노원구,중계동,상명중학교,90.2,서울 노원구 덕릉로 553,127.068043822852,37.649367789318
서대문구,천연동,동명여자중학교,90.0,서울 서대문구 독립문로 49,126.962279447993,37.5686635440554
강동구,고덕동,명일중학교,89.9,서울 강동구 양재대로156길 57,127.14803094449118,37.557281881071226
강남구,역삼동,휘문중학교,89.9,서울 강남구 역삼로 541,127.0617854310812,37.50555094438292
구로구,신도림동,신도림중학교,89.9,서울 구로구 경인로63길 74,126.885455445115,37.5107698288355
영등포구,여의도동,여의도중학교,89.8,서울 영등포구 국제금융로7길 46,126.935916575272,37.5238869479527
서초구,반포동,방배중학교,89.7,서울 서초구 동광로 144,126.9985751800111,37.494250456914585
성북구,성북동,동구여자중학교,88.8,서울 성북구 성북로8길 71,127.007731488322,37.59425753692
노원구,하계동,불암중학교,88.8,서울 노원구 한글비석로5길 45,127.073552051531,37.6458722722225
성북구,돈암동,개운중학교,88.7,서울 성북구 북악산로 935,127.024825161995,37.5947236950851
동작구,신대방동,대방중학교,88.6,서울 동작구 여의대방로10길 24,126.913844476081,37.4954840634257
강남구,도곡동,대치중학교,88.5,서울 강남구 남부순환로378길 39,127.047420035224,37.4845785423122
강서구,염창동,염창중학교,88.5,서울 강서구 양천로67가길 83,126.871514894022,37.5537908804043
송파구,가락동,가원중학교,88.4,서울 송파구 중대로10길 40-18,127.123053633152,37.4908634663605
강남구,도곡동,은성중학교,88.1,서울 강남구 남부순환로359길 36,127.036110378508,37.4877000285748
영등포구,당산동5가,당산서중학교,88.1,서울 영등포구 당산로41길 12,126.898704612312,37.5325609648934
성북구,길음동,길음중학교,88.0,서울 성북구 길음로 144,127.017025597528,37.6142116924722
성북구,돈암동,성신여자중학교,88.0,서울 성북구 북악산로 918,127.02324069152935,37.593619401884794
송파구,방이동,보성중학교,87.8,서울 송파구 양재대로 1278,127.13507707581593,37.52041950058879
은평구,진관동,신도중학교,87.8,서울 은평구 진관1로 77-30,126.930783894779,37.6329151329028
서초구,방배동,동덕여자중학교,87.7,서울 서초구 효령로2길 123-5,126.991457698819,37.4758479609232
노원구,중계동,중계중학교,87.6,서울 노원구 덕릉로76길 23,127.075265963927,37.6555081039944
강서구,가양동,성재중학교,87.6,서울 강서구 허준로 36,126.845285559338,37.5695412682135
송파구,잠실7동,정신여자중학교,87.4,서울 송파구 올림픽로4길 16,127.073544236134,37.5090184833342
송파구,방이동,방산중학교,87.4,서울 송파구 오금로29길 31,127.12186899107446,37.50919655400462
강동구,상일동,한영중학교,87.4,서울 강동구 동남로 832,127.157370212969,37.5492004725333
강서구,내발산동,화곡중학교,87.3,서울 강서구 강서로45길 70,126.833230287436,37.5482361176441
종로구,필운동,배화여자중학교,87.2,서울 종로구 필운대로1길 34,126.96703331718474,37.57950573613586
노원구,하계동,중평중학교,87.1,서울 노원구 동일로203길 87,127.062426570581,37.6369517309036
양천구,신정동,목동중학교,87.1,서울 양천구 목동동로 172,126.871453544239,37.5209727962313
강남구,개포동,개원중학교,87.0,서울 강남구 영동대로 101,127.071206950726,37.4917422265598
송파구,송파동,가락중학교,86.7,서울 송파구 송이로 45,127.118843114504,37.5025484202424
강서구,내발산1동,덕원중학교,86.6,서울 강서구 강서로45길 91-44,126.829505877487,37.549830970476
마포구,상암동,상암중학교,86.5,서울 마포구 상암산로1길 26,126.888144865456,37.5790897397893
노원구,공릉동,태랑중학교,86.4,서울 노원구 화랑로51나길 51,127.091363832297,37.6268670596942
강동구,암사동,강일중학교,86.4,서울 강동구 고덕로27길 12,127.138324886713,37.5554015577855
중랑구,묵동,원묵중학교,86.3,서울 중랑구 신내로23길 57,127.084525070928,37.6179019287047
서대문구,대신동,이화여자대학교사범대학부속이화·금란중학교,86.3,서울 서대문구 성산로 520,126.944458336105,37.5625009004279
마포구,중동,중암중학교,86.3,서울 마포구 월드컵북로38길 25,126.90396227446432,37.57216601228331
송파구,가락동,송파중학교,86.3,서울 송파구 동남로 203,127.129946446074,37.4959197426485
동대문구,회기동,경희여자중학교,86.3,서울 동대문구 경희대로 26,127.05146424679107,37.594628590738516
동대문구,휘경동,휘경여자중학교,86.2,서울 동대문구 한천로 247,127.06772467655003,37.58237589363925
노원구,상계동,신상중학교,86.1,서울 노원구 동일로216길 42,127.063531264447,37.6516443867498
강서구,염창동,염경중학교,86.0,서울 강서구 양천로69길 35,126.870698764572,37.5545432231908
노원구,상계동,노원중학교,85.9,서울 노원구 동일로213길 26,127.059663025577,37.6494083648446
성동구,응봉동,광희중학교,85.9,서울 성동구 독서당로62길 46,127.033977204357,37.5511204686317
양천구,신정동,신서중학교,85.8,서울 양천구 중앙로 206,126.855572103218,37.5158763932506
송파구,장지동,송례중학교,85.7,서울 송파구 위례순환로 429,127.139705757768,37.4778199794338
강남구,청담동,청담중학교,85.6,서울 강남구 압구정로61길 36,127.045289342856,37.5286457328131
노원구,상계동,상계중학교,85.6,서울 노원구 노원로 398,127.068822011438,37.6527370137507
서대문구,홍은동,정원여자중학교,85.5,서울 서대문구 연희로37안길 51,126.933422893275,37.5853912694954
서대문구,북가좌동,가재울중학교,85.4,서울 서대문구 수색로 100-75,126.909926518754,37.5751439956454
동작구,동작동,동작중학교,85.4,서울 동작구 동작대로39가길 83,126.977229695452,37.4953186673182
노원구,상계동,상경중학교,85.1,서울 노원구 동일로227길 61,127.053425107239,37.6669660844686
송파구,잠실동,아주중학교,85.1,서울 송파구 올림픽로4길 69,127.07641758253,37.5050954863663
동작구,상도동,상현중학교,84.9,서울 동작구 사당로2길 2-19,126.96128558902,37.4942837664176
노원구,상계동,노일중학교,84.6,서울 노원구 동일로231길 24,127.053774364412,37.6734746051065
영등포구,여의도동,윤중중학교,84.6,서울 영등포구 여의동로3길 3,126.924142990083,37.5188920222347
강남구,자곡동,세곡중학교,84.6,서울 강남구 자곡로 81,127.091975314612,37.4719525467879
마포구,대흥동,숭문중학교,84.6,서울 마포구 숭문길 99,126.945104676082,37.5516207594309
강남구,일원2동,중동중학교,84.6,서울 강남구 일원로8길 37,127.078562850789,37.4887245952379
종로구,청운동,청운중학교,84.6,서울 종로구 창의문로 51,126.971109646009,37.5892123028091
도봉구,방학동,창동중학교,84.4,서울 도봉구 방학로 32,127.049600641568,37.6631223687219
은평구,진관동,진관중학교,84.1,서울 은평구 진관4로 36,126.925706743376,37.6437526939515
강북구,미아동,삼각산중학교,84.0,서울 강북구 삼양로19길 141,127.015512828756,37.6162156994321
종로구,동숭동,서울대학교사범대학부설여자중학교,83.9,서울 종로구 대학로 64,127.00391697698396,37.57796236659676
도봉구,쌍문동,정의여자중학교,83.8,서울 도봉구 노해로49길 69,127.032065599657,37.6535131603764
영등포구,문래동3가,양화중학교,83.8,서울 영등포구 당산로 56,126.896178939408,37.5198005869505
성북구,삼선동2가,한성여자중학교,83.7,서울 성북구 삼선교로16길 118,127.011724367297,37.581828014183
동작구,사당동,상도중학교,83.6,서울 동작구 사당로2가길 72,126.96147729579,37.4909140621411
중구,신당동,금호여자중학교,83.6,서울 중구 청구로 6,127.02048961062,37.5580252222912
송파구,문정동,문정중학교,83.6,서울 송파구 문정로 73,127.130123651685,37.4885565208071
양천구,신정동,금옥중학교,83.5,서울 양천구 신정로 213,126.844222357179,37.5104054941364
도봉구,창동,창일중학교,83.5,서울 도봉구 노해로66길 60,127.046853431412,37.6488050830694
용산구,서빙고동,한강중학교,83.4,서울 용산구 녹사평대로 73,126.992094755249,37.5241058934232
동작구,대방동,성남중학교,83.4,서울 동작구 대방동길 74,126.927414758177,37.5044708037554
성북구,돈암동,고명중학교,83.3,서울 성북구 북악산로 870,127.019716859455,37.5976114354144
강남구,논현동,언북중학교,83.3,서울 강남구 도산대로38길 27,127.033184528594,37.519333389403
노원구,하계동,하계중학교,83.2,서울 노원구 노원로 261-8,127.07141503303126,37.64115423107286
마포구,신수동,신수중학교,83.1,서울 마포구 신수로 49,126.933688374116,37.5464647927042
영등포구,당산동6가,당산중학교,83.1,서울 영등포구 버드나루로 160,126.907634120403,37.5320745379211
송파구,가락동,석촌중학교,83.0,서울 송파구 송이로15길 13,127.120867403641,37.5010939458051
노원구,월계동,녹천중학교,83.0,서울 노원구 월계로 376,127.062050563627,37.6316685506305
마포구,염리동,동도중학교,82.9,서울 마포구 백범로 139,126.946792295416,37.5464353844485
강동구,천호동,성덕여자중학교,82.9,서울 강동구 구천면로 396,127.141600423519,37.5495808358662
노원구,상계동,청원중학교,82.8,서울 노원구 한글비석로 506,127.061730609574,37.6666845282111
강서구,방화동,삼정중학교,82.7,서울 강서구 금낭화로 210,126.81093004824,37.5815645564793
도봉구,방학동,신방학중학교,82.7,서울 도봉구 시루봉로 156,127.029812463199,37.6641129011156
송파구,풍납동,풍성중학교,82.6,서울 송파구 강동대로2길 27,127.11278321623891,37.52561464529711
