store_name,store_addr
춘천퇴계DT,강원 춘천시 퇴계동 418-20
용인보라DT,경기 용인시 기흥구 하갈동 142-8
순천조례DT,전남 순천시 조례동 382-1
광주첨단DT점,광주 북구 용두동 311-15
고양덕이DT,경기 고양시 일산서구 덕이동 304-3
"E
                                송정역",서울 강서구 공항동 45-38
인천계산DT,인천 계양구 계산동 1083-3
수원세류DT,경기 수원시 권선구 세류동 1155-8
서울시청,서울 중구 을지로1가 32
코엑스,서울 강남구 삼성동 159
영천DT,경북 영천시 망정동 206-9
"E
                                용인수지DT",경기 용인시 수지구 풍덕천동 43-5
연수 GS DT점,인천 연수구 연수동 597
옥포SK DT,경남 거제시 옥포동 551-1
"A
                                원주단구DT",강원 원주시 단구동 1026-16
토곡,부산 연제구 연산동 399-10
구산,서울 은평구 구산동 1-14
신마산,경남 창원시 마산합포구 해운동 5-119
순천덕암DT점,전남 순천시 덕암동 146-32
전북정읍DT,전북 정읍시 수성동 524-17
과천이마트,경기 과천시 별양동 1-19
구리인창 DT,경기 구리시 인창동 410-5
제주도남DT,제주특별자치도 제주시 도남동 419
여의도,서울 영등포구 여의도동 23
하남시청DT점,경기 하남시 신장동 522-5
"B
                                동아대",부산 사하구 하단동 492-1
진접DT,경기 남양주시 진접읍 장현리 218
광주동림DT,광주 북구 동림동 900-41
진해자은 DT,경남 창원시 진해구 자은동 808-2
용인DT,경기 용인시 처인구 김량장동 177-9
창원역DT점,경남 창원시 의창구 팔용동 149-4
부산사직DT점,부산 동래구 사직동 105-10
마장휴게소점,경기 이천시 마장면 목리 산 13-32
인천구월DT점,인천 남동구 구월동 1120-16
병점DT점,경기 화성시 병점동 372-1
"D
                                대전카이스트DT점",대전 유성구 가정동 2-23
경주황남 DT,경북 경주시 노서동 169-4
부산덕천 DT,부산 북구 덕천동 554-1
원동점,부산 동래구 안락동 65-2
김포구래DT,경기 김포시 구래동 6871-25
충남아산DT,충남 아산시 온천동 36-28
부산기장 DT,부산 기장군 기장읍 청강리 112-1
정발산,경기 고양시 일산동구 장항동 770-2
천안고속버스터미널,충남 천안시 동남구 신부동 363-2
부산범전DT,부산 부산진구 범전동 383-25
광주진월DT,광주 남구 진월동 291-7
상무대,광주 서구 치평동 1182
의정부녹양DT점,경기 의정부시 가능동 106-1
해운대DT,부산 해운대구 우동 626-13
양산북정 DT점,경남 양산시 신기동 545-7
진주혁신GSDT,경남 진주시 충무공동 222-1
대구복현DT점,대구 북구 복현동 364-5
대전유천DT점,대전 중구 유천동 327-4
울산SK DT,울산 남구 달동 819
서울 태릉입구역DT,서울 노원구 공릉동 596-10
신림,서울 관악구 신림동 1641-22
부산 구남DT점,부산 북구 구포동 920-16
부산엄궁 DT,부산 사상구 엄궁동 367-3
"A
                                광주운암DT",광주 북구 운암동 1078-2
목포석현DT,전남 목포시 석현동 816-85
"D
                                대구 침산DT",대구 북구 침산동 244-1
